track_name,artist(s)_name,artist_count,released_year,released_month,released_day,streams(10 million),in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,72.043424,3107,39,38,0,4,0,0,101,D,Major,88,72,59,62,0,9,3
BESO,"Rauw Alejandro, ROSALï¿½",2,2023,3,24,35.7925728,4053,50,82,121,182,12,171,95,F,Minor,77,53,64,74,0,17,14
Hey Mor,"Ozuna, Feid",2,2022,10,6,67.407271,4637,38,63,79,89,11,16,98,C#,Minor,90,40,59,0,0,10,29
Yellow,Chris Molitor,1,1999,1,1,175.5214421,31358,43,196,2,"4,053",5,0,173,B,Major,43,28,66,0,0,23,3
Karma,Taylor Swift,1,2022,10,21,40.4562836,3818,23,37,55,32,0,272,90,G#,Major,64,10,62,7,0,48,7
People,Libianca,1,2022,12,2,37.3199958,3506,56,105,64,169,8,529,198,A#,Minor,59,71,42,55,0,10,7
Overdrive,Post Malone,1,2023,7,14,1.4780425,410,36,36,32,31,1,26,140,C#,Major,56,48,73,0,0,35,4
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,3.9578178,148,24,32,93,8,2,5,82,G#,Major,51,22,53,1,0,15,3
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,5.4266102,1004,35,42,80,58,3,169,130,C#,Minor,77,84,89,17,0,43,5
Heat Waves,Glass Animals,1,2020,6,28,255.7975762,22543,63,386,144,707,28,,81,B,Major,76,53,53,44,0,9,9
golden hour,JVKE,1,2022,7,15,75.1134527,4511,36,70,58,109,18,230,94,C#,Minor,51,14,59,65,18,25,3
Sweater Weather,The Neighbourhood,1,2012,5,14,228.2771485,16413,61,166,87,"1,056",1,,124,A#,Major,61,41,81,5,2,10,3
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,135.6565093,8506,45,94,65,164,14,176,128,D,Major,62,55,78,1,3,23,4
Viva La Vida,Coldplay,1,2008,1,1,159.2909789,33898,62,233,0,"4,095",9,0,138,F,Minor,49,42,62,9,0,11,3
Here With Me,d4vd,1,2022,7,17,63.5412045,3246,23,94,85,68,1,84,132,E,Major,58,27,48,50,0,12,3
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,123.067589,8576,42,216,108,331,26,154,131,D,Major,71,24,47,1,0,27,9
Yandel 150,"Yandel, Feid",2,2022,12,20,58.5695368,3618,38,47,74,80,14,194,168,F#,Minor,78,58,73,5,0,10,7
CORAZï¿½ï¿½N VA,Maria Becerra,1,2023,6,22,4.3857627,370,20,12,16,18,4,93,98,C#,Major,68,40,79,33,0,30,6
Riptide,Vance Joy,1,1975,1,1,200.9094673,31123,55,300,65,"1,003",1,0,102,C#,Major,48,50,73,43,0,15,4
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,60.0976848,2790,30,60,96,71,0,115,101,A#,Major,34,32,57,78,0,20,3
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2,2023,6,23,3.9709092,267,9,9,6,25,2,72,130,F,Major,63,36,34,76,0,35,9
Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,3.9228929,139,17,16,72,5,0,8,142,D,Major,50,20,64,1,0,12,3
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,266.5343922,17050,36,492,99,798,31,0,170,C#,Major,59,48,76,4,0,10,5
El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,22.3633238,2114,44,80,75,110,11,323,124,G#,Minor,78,70,68,3,1,11,4
Someone You Loved,Lewis Capaldi,1,2018,11,8,288.7241814,17836,53,440,125,"1,800",0,,110,C#,Major,50,45,41,75,0,11,3
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,144.0757818,8870,43,104,120,141,26,49,92,C#,Minor,91,43,71,9,0,9,8
Makeba,Jain,1,2015,6,22,16.5484133,6060,53,150,148,"2,703",22,"1,451",116,D,Major,82,40,66,39,51,25,7
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20,5.8054811,641,50,1,52,8,0,"1,170",129,A,Major,63,84,82,70,8,9,7
Fast Car,Luke Combs,1,2023,3,24,15.705887,1446,12,57,97,35,0,429,98,G#,Major,71,67,60,19,0,12,3
What It Is (Solo Version),Doechii,1,2023,3,17,9.5131998,804,25,29,76,24,0,162,172,C#,Minor,74,76,76,6,0,10,9
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,25.0305248,1962,38,28,89,29,5,82,150,D,Major,68,14,76,4,0,10,4
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,1,2017,11,8,68.5032533,4875,23,19,45,0,0,10,136,A,Minor,62,19,53,11,0,6,4
Still With You,Jung Kook,1,2020,6,5,3.8411956,31,39,2,107,8,0,0,88,C#,Minor,53,34,47,9,0,83,4
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,14.456515,2175,23,69,145,69,2,478,143,D#,Major,83,69,44,15,0,10,33
Say Yes To Heaven,Lana Del Rey,1,2023,3,17,12.756754,2000,46,49,105,63,1,0,100,F#,Minor,49,17,35,71,9,11,3
Snooze,SZA,1,2022,12,9,39.9686758,2839,25,58,156,42,1,236,143,F,Major,56,39,55,14,0,11,13
Summertime Sadness,Lana Del Rey,1,2011,1,1,98.3637508,20333,52,89,143,"1,632",3,200,112,C#,Minor,56,24,66,7,0,12,3
Take Two,BTS,1,2023,6,9,11.8482347,674,47,20,106,25,4,78,93,G,Major,62,57,59,3,0,38,3
